0,1,2,3
"mention Vai mudar muito deixando de ser Sócio, ele vai deixar de fazer merda e o clube vai arrecadar mais? O ST não pode enfraquecer, os protestos têm que ser direcionado ao Textor. Minha opinião",False,False,False
mention Como o povo cearense elege um pedaço de lixo como esse?,True,True,True
"abutre, nojento, judas, cafajeste, corno, idiota, imprestável, horroroso, feio, imundo, fedido, verme, falso, duas cara, calvo, bostão, lixo, maldito, desgraçado, larva, cabeçudo, babaca, bolsonarista, petista, flamenguista, carioca, ateu, lerdo, mongol, retardado, bastardo....",True,True,True
"mention Vai à merda, Carioca. Até ontem tinha um monte de véio escroto cagando em sacola plástica e dormindo em barraca em nome de um FDP que fugiu e deixou todos eles igual saco de lixo na rua e você vem falar que AGORA a idolatria voltou? Vai tomar no cu, querido!",True,True,True
mention O nordestino huncerto bosta é um lixo,True,True,True
"Irmãos nordestinos é o caralho, tire meu nome da sua boca seu lixo",True,True,True
mention Existe sim e esse lixo nordestino tem que voltar pra suas terras Fora lixos,False,True,True
mention Sou nordestino e esse lixo de perfil não me representa. #BolsonaroPresidente22,False,True,True
"mention MAS JAMAIS!!!!! Sou fruto de duas pessoas nascidas e criadas no interior do sertão que precisaram migrar para São Paulo em busca de oportunidades, nasci em uma situação de desigualdade!!!! Sou nordestino de coração e sou resistência!!!!",False,False,True
mention Vai ver os próprios nordestinos pediram pra não escutar o lixo. Seria uma tortura pra eles ter que ouvir um desgra@#& que disse que eles são vagabundos e burros. Eu quebraria até o rádio.,True,True,True
"mention Janones ou Danone como lhe chamam... você não passa do suprassumo da merda em pó , um lixo humano que não presta nem pra reciclar... traidor do povo mineiro, mau caráter da pior espécime...🤮🤮🤮🤮🤮🤮🤮",True,True,True
"mention Lavou a nossa alma na Globo Lixo! Fez o LuLadrão entender que ninguém o chama de MITO porque ele é mentiroso, trapaceiro, desonesto, desumano! Larapio que desonra o povo nordestino com sua falta de dignidade e humildade #Bolsonaro2022 #BolsonaroReeleito",True,True,True
vergonha desse estado lixo mineiro tem q se fuder mt mesmo merece aguentar calado toda poha(do cuzema e cusonaro,True,True,True
mention 🤣 🤣 🤣 🤣 🤣 Toma desgraçados NORDESTINOS faz um L troxas 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣,True,True,True
mention Uau carioca KKKKKKKK Mirassol seria campeao invicto desse lixo,False,True,True
"mention Você acha mesmo q esta correta? Vc não merece o cargo, mulher é mulher independente de suas escolhas ou ideais. se esconder atrás do preconceito racial e do preconceito contra os nordestinos, pra justificar o seu próprio preconceito contra as feministas. Só uma palavra: Lixo!",True,True,True
"mention desculpa, esses sulistas só fazem merda",True,True,True
"mention acerca disso. Seja nas escolas ou numa escada com lixo, a cidade precisa de ação. Por que não começar pelo local sugerido pelo Justino, né @eduardopaes?",False,False,True
Carioca e um lixo. Olha que moro aqui nessa merda..,True,True,True
"mention Meus nordestinos que votaram neste lixo do lularapio,voces tem que reagir e voces que colocaram este lixo na Presidência.",True,True,True
mention Os nordestinos q o digam...fazueli fdp....,True,True,True
"E você que agora fala ah, vale a pena lembrar que o Kami é sulista Você está apenas sendo só mais uma mosca no tolete de merda e não está ajudando em nada para mudar o preconceito entre os estados e as pessoas.",True,True,True
mention Vergonha para o povo cearense seu lixo !,True,True,True
"mention Sim, esse meio tava essa merda e ele não chamou o Ronaldinho que tava fundando o Atlético mineiro já com uns 30 e pouco nas costas",True,True,False
"mention Vagabundo,vc que uma guerra civil vc vai ter seu vagabundo,vc e pilantra não representa povo mineiro seu lixo",True,True,True
"mention Só vejo uma saída, uma educação revolucionária no NE e no NO, para desenvolver essas regiões e deixar esses FDP falando sozinhos. Um pedido: Nordestinos e Nortistas, CONSUMAM PRODUTOS DE SUA REGIÃO! Não vamos dar empregos para esses xenófobos FDP!",True,True,True
"Os áudios comprovam que o cara chamou nordestino de burro e gay de lixo (mesmo sendo gay) e ainda tem gente defendendo falando que ele tem direito a ter liberdade de pensamento kkkkkkkkkkkk na moral, gente tão lixo quanto ele.",False,False,True
"Olha esses fdp da PRF, Mds... Não deixando os nordestinos votar",True,True,True
mention dinheiro é lixo pro VASCUDO PORRA,False,True,True
"vey, sulistas tinham tudo q m***** MEUS AMORES, VOCÊS SÓ SÃO BRANCOS NO BRASIL, pro resto, podem até ser passaveis, MAS AINDA SÃO >LATINOS< seus racistas de merda, acorda pra porra da vida bando de vira lata q se acha superior pq criou uma utopia europeia",True,True,True
"mention Ahhhhhhhh Tbm, quem vai fazer a merda hahahahahah eu acabo servindo de entretenimento hahaha Obg mineiro 🥰",False,False,True
mention Mongol e xenofobico é Você que odeia e tem preconceito com os nordestinos inutil lixo !,True,True,True
"mineiro: “ginteco, brota” eu: “só vou passar aí rapidinho, amanhã acordo cedo, vou nem beber” a hora que eu consigo deitar pra dormir, 4:02da manhã, tmnc, eu sou um merda mermão",False,False,False
"Twitter é tipo Votou no bozo: vc é um merda fudido Votou no barba: vc é o herói do mundo Zuou sulista: poggers muito engraçado LEMON, BASED Zuou nordestino: seu xenófobico fudido isso é noggers, CRINGE",False,False,True
